questions,answers
hola,¡Hola! Soy tu asistente virtual. ¿En qué puedo ayudarte hoy? 😊
adiós,¡Adiós! Espero haberte ayudado. ¡Nos vemos pronto! 👋
buenos días,¡Buenos días! ¿Cómo te sientes hoy? 🌞
buenas tardes,¡Buenas tardes! ¿Qué puedo hacer por ti? 🌇
buenas noches,¡Buenas noches! ¿Necesitas ayuda antes de dormir? 🌙
¿Me cuentas un chiste?,Un chiste rápido: ¿Cómo se llama un boomerang que no vuelve? ¡Un palo! 😂
Cuéntame un chiste,Un chiste rápido: ¿Cómo se llama un boomerang que no vuelve? ¡Un palo! 😂
¿Tienes algún chiste?,Un chiste rápido: ¿Cómo se llama un boomerang que no vuelve? ¡Un palo! 😂
Dime un chiste,Un chiste rápido: ¿Cómo se llama un boomerang que no vuelve? ¡Un palo! 😂
¿Sabes un chiste?,Un chiste rápido: ¿Cómo se llama un boomerang que no vuelve? ¡Un palo! 😂
¿Me dices un dato curioso?,"¿Sabías que las abejas tienen cinco ojos? ¡Sí, cinco! 🐝"
Dime algo interesante,"¿Sabías que las abejas tienen cinco ojos? ¡Sí, cinco! 🐝"
Quiero un dato curioso,"¿Sabías que las abejas tienen cinco ojos? ¡Sí, cinco! 🐝"
Cuéntame un dato curioso,"¿Sabías que las abejas tienen cinco ojos? ¡Sí, cinco! 🐝"
¿Sabes algo curioso?,"¿Sabías que las abejas tienen cinco ojos? ¡Sí, cinco! 🐝"
Dime otro dato curioso,"Sabías que el Sol es 330,000 veces más masivo que la Tierra? ☀️"
"Otro dato curioso, por favor","Sabías que el Sol es 330,000 veces más masivo que la Tierra? ☀️"
Dame un dato más,"Sabías que el Sol es 330,000 veces más masivo que la Tierra? ☀️"
Cuéntame algo curioso,"Sabías que el Sol es 330,000 veces más masivo que la Tierra? ☀️"
¿Sabes otro dato interesante?,"Sabías que el Sol es 330,000 veces más masivo que la Tierra? ☀️"
¿Tienes alguna adivinanza?,"Sí, ahí va: Blanco por dentro, verde por fuera. Si quieres que te lo diga, espera. ¿Qué es? (La respuesta es: el coco)"
Dime una adivinanza,"Sí, ahí va: Blanco por dentro, verde por fuera. Si quieres que te lo diga, espera. ¿Qué es? (La respuesta es: el coco)"
¿Sabes alguna adivinanza?,"Sí, ahí va: Blanco por dentro, verde por fuera. Si quieres que te lo diga, espera. ¿Qué es? (La respuesta es: el coco)"
Quiero una adivinanza,"Sí, ahí va: Blanco por dentro, verde por fuera. Si quieres que te lo diga, espera. ¿Qué es? (La respuesta es: el coco)"
Dame una adivinanza,"Sí, ahí va: Blanco por dentro, verde por fuera. Si quieres que te lo diga, espera. ¿Qué es? (La respuesta es: el coco)"
¿Qué puedo hacer si me aburro?,¿Por qué no aprendes a hacer origami? ¡Es una actividad creativa y relajante!
Dame una idea para no aburrirme,¿Por qué no aprendes a hacer origami? ¡Es una actividad creativa y relajante!
¿Qué me sugieres hacer?,¿Por qué no aprendes a hacer origami? ¡Es una actividad creativa y relajante!
Dime algo divertido para hacer,¿Por qué no aprendes a hacer origami? ¡Es una actividad creativa y relajante!
¿Tienes alguna idea para hacer algo?,¿Por qué no aprendes a hacer origami? ¡Es una actividad creativa y relajante!
